Source,Target,weight
Fort Lauderdale-Hollywood International,Los Angeles International,1
Fort Lauderdale-Hollywood International,Theodore Francis Green State,1
Fort Lauderdale-Hollywood International,Raleigh-Durham International,1
Fort Lauderdale-Hollywood International,Richmond International,1
Fort Lauderdale-Hollywood International,San Francisco International,1
Fort Lauderdale-Hollywood International,Luis Munoz Marin International,1
William P Hobby,John F. Kennedy International,3
Washington Dulles International,John F. Kennedy International,3
Washington Dulles International,Long Beach Airport,1
Jacksonville International,John F. Kennedy International,4
Jacksonville International,Luis Munoz Marin International,1
John F. Kennedy International,Albuquerque International Sunport,1
John F. Kennedy International,Long Beach Airport,1
John F. Kennedy International,Metropolitan Oakland International,1
John F. Kennedy International,Chicago O'Hare International,1
John F. Kennedy International,Palm Beach International,1
John F. Kennedy International,Raleigh-Durham International,1
John F. Kennedy International,Southwest Florida International,10
John F. Kennedy International,Norman Y. Mineta San Jose International,3
John F. Kennedy International,Sacramento International,3
McCarran International,Long Beach Airport,5
Long Beach Airport,Austin - Bergstrom International,2
Long Beach Airport,Metropolitan Oakland International,8
Long Beach Airport,Portland International,5
Long Beach Airport,Seattle/Tacoma International,5
Long Beach Airport,San Francisco International,7
Long Beach Airport,Sacramento International,5
Orlando International,Austin - Bergstrom International,2
Orlando International,Bradley International,3
Orlando International,Theodore Francis Green State,5
Orlando International,Richmond International,3
Orlando International,Luis Munoz Marin International,7
Palm Beach International,Bradley International,2
Palm Beach International,Luis Munoz Marin International,2
San Francisco International,Austin - Bergstrom International,2
Luis Munoz Marin International,Bradley International,2
Luis Munoz Marin International,Tampa International,4
Austin - Bergstrom International,Logan International,2
Port Columbus International,Chicago O'Hare International,1
Newark Liberty International,Will Rogers World,14
Philadelphia International,Newark Liberty International,2
Charlotte Douglas International,Washington Dulles International,7
Denver International,Austin - Bergstrom International,2
Phoenix Sky Harbor International,George Bush Intercontinental/Houston,1
Chicago O'Hare International,Charlotte Douglas International,1
Orlando International,George Bush Intercontinental/Houston,1
Theodore Francis Green State,Newark Liberty International,1
Denver International,George Bush Intercontinental/Houston,2
Buffalo Niagara International,Washington Dulles International,14
Cleveland-Hopkins International,Miami International,1
Lambert-St. Louis International,Washington Dulles International,17
George Bush Intercontinental/Houston,Richmond International,27
Philadelphia International,Cleveland-Hopkins International,1
Denver International,Tucson International,22
Denver International,Louisville International-Standiford Field,4
Denver International,Kansas City International,2
Pittsburgh International,Chicago O'Hare International,3
Washington Dulles International,Nashville International,5
Cleveland-Hopkins International,Tampa International,16
Cleveland-Hopkins International,Pittsburgh International,1
Washington Dulles International,Indianapolis International,1
Washington Dulles International,Louis Armstrong New Orleans International,1
Louis Armstrong New Orleans International,Chicago O'Hare International,4
Cleveland-Hopkins International,Louis Armstrong New Orleans International,5
Washington Dulles International,Port Columbus International,5
Washington Dulles International,Louisville International-Standiford Field,24
Jacksonville International,Washington Dulles International,20
Chicago O'Hare International,Jacksonville International,18
Bradley International,Chicago O'Hare International,2
Detroit Metro Wayne County,Norfolk International,28
Memphis International,Raleigh-Durham International,3
Raleigh-Durham International,Orlando International,2
Detroit Metro Wayne County,San Antonio International,2
Cincinnati/Northern Kentucky International,Detroit Metro Wayne County,12
Louis Armstrong New Orleans International,Memphis International,1
Eppley Airfield,Detroit Metro Wayne County,1
Austin - Bergstrom International,Memphis International,1
Minneapolis-St Paul International,Raleigh-Durham International,9
Detroit Metro Wayne County,Will Rogers World,1
Detroit Metro Wayne County,Pittsburgh International,1
Bradley International,Raleigh-Durham International,7
Memphis International,Charlotte Douglas International,2
Minneapolis-St Paul International,Louis Armstrong New Orleans International,2
Cincinnati/Northern Kentucky International,Memphis International,4
LaGuardia,Raleigh-Durham International,2
Raleigh-Durham International,Tampa International,1
LaGuardia,Lambert-St. Louis International,1
Richmond International,LaGuardia,1
Jacksonville International,LaGuardia,6
Charlotte Douglas International,LaGuardia,5
Ontario International,Salt Lake City International,2
Ronald Reagan Washington National,Cincinnati/Northern Kentucky International,1
Hartsfield-Jackson Atlanta International,Dallas Love Field,30
LaGuardia,Cincinnati/Northern Kentucky International,3
Baltimore/Washington International Thurgood Marshall,Raleigh-Durham International,72
Port Columbus International,Raleigh-Durham International,6
Dallas/Fort Worth International,Cincinnati/Northern Kentucky International,1
Minneapolis-St Paul International,Theodore Francis Green State,4
LaGuardia,Kansas City International,1
Pittsburgh International,Cincinnati/Northern Kentucky International,1
Buffalo Niagara International,Detroit Metro Wayne County,21
Memphis International,Kansas City International,1
Dallas/Fort Worth International,LaGuardia,29
Norfolk International,LaGuardia,1
Nashville International,LaGuardia,6
Chicago Midway International,Minneapolis-St Paul International,1
Cincinnati/Northern Kentucky International,Minneapolis-St Paul International,1
Cincinnati/Northern Kentucky International,Louis Armstrong New Orleans International,27
Philadelphia International,Memphis International,1
Washington Dulles International,Minneapolis-St Paul International,18
Raleigh-Durham International,Cincinnati/Northern Kentucky International,7
Memphis International,San Antonio International,1
Memphis International,Dallas/Fort Worth International,1
Memphis International,Lambert-St. Louis International,27
Nashville International,Minneapolis-St Paul International,1
Memphis International,Eppley Airfield,1
Memphis International,General Mitchell International,7
Indianapolis International,Memphis International,7
Cincinnati/Northern Kentucky International,Philadelphia International,1
Cincinnati/Northern Kentucky International,Bradley International,1
Charlotte Douglas International,Cincinnati/Northern Kentucky International,32
Minneapolis-St Paul International,Richmond International,22
Cincinnati/Northern Kentucky International,General Mitchell International,7
Buffalo Niagara International,LaGuardia,3
Washington Dulles International,Norfolk International,7
LaGuardia,Washington Dulles International,2
Norfolk International,Chicago O'Hare International,1
Chicago O'Hare International,Will Rogers World,5
Bradley International,Washington Dulles International,1
Chicago O'Hare International,Richmond International,6
Washington Dulles International,Richmond International,16
Dallas/Fort Worth International,Denver International,1
Memphis International,Denver International,9
Washington Dulles International,Pittsburgh International,1
Denver International,Port Columbus International,5
Eppley Airfield,Denver International,2
Denver International,Albuquerque International Sunport,2
Phoenix Sky Harbor International,Denver International,1
Kansas City International,Washington Dulles International,21
Denver International,Cincinnati/Northern Kentucky International,1
Louis Armstrong New Orleans International,Denver International,1
Washington Dulles International,Cincinnati/Northern Kentucky International,34
Pittsburgh International,Denver International,24
Will Rogers World,Denver International,1
Denver International,Lambert-St. Louis International,2
Theodore Francis Green State,Washington Dulles International,3
Washington Dulles International,Will Rogers World,1
Denver International,John Wayne Airport-Orange County,1
Denver International,San Francisco International,1
Tampa International,Denver International,2
Denver International,McCarran International,2
Denver International,Seattle/Tacoma International,2
Denver International,San Diego International,2
Denver International,General Mitchell International,1
Orlando International,Denver International,1
Denver International,Southwest Florida International,2
Ronald Reagan Washington National,Denver International,1
Denver International,Portland International,2
Denver International,Los Angeles International,2
Denver International,Fort Lauderdale-Hollywood International,2
Denver International,Cleveland-Hopkins International,3
Denver International,Chicago Midway International,1
Orlando International,Eppley Airfield,2
Orlando International,General Mitchell International,1
Southwest Florida International,Port Columbus International,1
Southwest Florida International,Ronald Reagan Washington National,3
Orlando International,Louis Armstrong New Orleans International,1
Southwest Florida International,Indianapolis International,1
Orlando International,Philadelphia International,1
Southwest Florida International,General Mitchell International,1
General Mitchell International,Ronald Reagan Washington National,1
Tampa International,Baltimore/Washington International Thurgood Marshall,2
Chicago Midway International,Southwest Florida International,3
Tampa International,Indianapolis International,1
Pittsburgh International,Southwest Florida International,3
Orlando International,Pittsburgh International,1
Baltimore/Washington International Thurgood Marshall,Charlotte Douglas International,2
Tampa International,General Mitchell International,2
Tampa International,Pittsburgh International,1
Orlando International,Chicago Midway International,1
Orlando International,Baltimore/Washington International Thurgood Marshall,1
Indianapolis International,Fort Lauderdale-Hollywood International,2
Baltimore/Washington International Thurgood Marshall,Southwest Florida International,2
Tampa International,Philadelphia International,2
Luis Munoz Marin International,Baltimore/Washington International Thurgood Marshall,1
Orlando International,Indianapolis International,1
William P Hobby,Orlando International,2
Orlando International,Port Columbus International,2
Baltimore/Washington International Thurgood Marshall,Fort Lauderdale-Hollywood International,1
San Francisco International,John Wayne Airport-Orange County,2
McCarran International,John Wayne Airport-Orange County,2
Austin - Bergstrom International,William P Hobby,1
Port Columbus International,Fort Lauderdale-Hollywood International,2
Fort Lauderdale-Hollywood International,Philadelphia International,2
Fort Lauderdale-Hollywood International,Pittsburgh International,3
William P Hobby,San Antonio International,2
Palm Beach International,Philadelphia International,2
General Mitchell International,Logan International,2
Philadelphia International,Southwest Florida International,2
Tampa International,Chicago Midway International,2
Fort Lauderdale-Hollywood International,Chicago Midway International,2
Port Columbus International,Tampa International,2
Tampa International,Buffalo Niagara International,2
Kansas City International,Orlando International,2
Orlando International,Lambert-St. Louis International,2
Baltimore/Washington International Thurgood Marshall,McCarran International,2
Metropolitan Oakland International,Kahului Airport,1
Portland International,Honolulu International,1
Seattle/Tacoma International,Kahului Airport,3
Phoenix Sky Harbor International,Honolulu International,31
Norman Y. Mineta San Jose International,Kahului Airport,2
Metropolitan Oakland International,Honolulu International,1
Honolulu International,John F. Kennedy International,31
McCarran International,Honolulu International,31
San Diego International,Honolulu International,1
Sacramento International,Honolulu International,31
Kahului Airport,Honolulu International,5
Louisville International-Standiford Field,Dallas/Fort Worth International,1
Indianapolis International,Miami International,2
Miami International,Norfolk International,31
Pittsburgh International,Miami International,1
Miami International,Nashville International,30
Jacksonville International,Miami International,60
Charlotte Douglas International,Miami International,1
Port Columbus International,Miami International,1
Chicago O'Hare International,Salt Lake City International,1
Lambert-St. Louis International,John F. Kennedy International,1
Buffalo Niagara International,Minneapolis-St Paul International,24
Salt Lake City International,Austin - Bergstrom International,1
Baltimore/Washington International Thurgood Marshall,John F. Kennedy International,25
John F. Kennedy International,Minneapolis-St Paul International,2
Will Rogers World,Salt Lake City International,3
Pittsburgh International,John F. Kennedy International,4
John F. Kennedy International,Kansas City International,1
John F. Kennedy International,Philadelphia International,1
Memphis International,Logan International,27
